Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
3,Parfitt  Brandan,9,58,6,56,114,12.67,1,1,,50,4,19,19,23,6,7,,45,64,,1,3,,4,50.1,5/0,Essendon
10,Knevitt  Mitch,8,61,24,34,95,11.88,2,3,,19,12,18,5,13,5,3,,42,55,7,4,4,,4,59.4,2-Jan,Essendon
15,Ceglar  Jonathon,6,34,21,42,76,12.67,,,153,8,4,10,28,18,6,8,,49,29,7,1,19,,,67,0/1,Essendon
37,Simpson  Sam,6,26,12,29,55,9.17,7,3,,7,,10,1,6,2,3,,23,34,,6,3,1,1,65.8,1-Jan,Essendon
34,Mullin  Oisin,6,22,12,27,49,8.17,,1,,9,3,4,1,9,1,3,,17,30,1,,7,,,61.7,2/0,Essendon
28,Dempsey  Oliver,5,16,8,22,38,7.6,1,3,,10,2,5,3,2,2,1,,14,23,1,2,2,,1,42,3-Jan,Essendon
27,Menegola  Sam,1,17,6,10,27,27,,1,,3,3,3,3,10,,1,,6,22,,,2,,,81,,Essendon
33,Neale  Shannon,3,9,12,12,21,7,1,2,19,9,,3,1,6,,2,,15,8,7,5,6,,2,85.3,,Essendon
13,Clark  Jhye,1,4,,2,6,6,,,,5,2,1,1,3,,,,3,3,,,,,,25,1/0,Essendon
6,Conway  Toby,1,2,1,4,6,6,,,24,3,,,2,3,1,2,,4,2,1,,2,,,68,,Essendon
40,Clohesy  Ted,1,1,1,4,5,5,,,,1,,,,,,,,2,3,,,,,,26,1/0,Essendon
11,Whyte  Cooper,1,1,1,,1,1,,,,,,,,,,,,,1,,,,,,17,1/0,Essendon
15,Anderson  Noah,23,380,104,239,619,26.91,14,15,,79,51,110,148,80,15,16,22,278,333,1,6,27,29,12,84.5,,Gold Coast 
18,Rowell  Matt,23,273,43,214,487,21.17,7,2,,190,39,86,177,91,41,35,12,330,186,,2,31,4,12,82.9,,Gold Coast 
44,Macpherson  Darcy,23,306,128,135,441,19.17,3,2,,48,84,32,17,69,18,17,,126,286,6,1,28,5,5,81.4,1/0,Gold Coast 
24,Swallow  David,23,222,78,160,382,16.61,14,11,,101,13,66,71,61,15,23,,181,206,10,13,32,,9,76.7,,Gold Coast 
9,Ainsworth  Ben,21,228,100,143,371,17.67,21,15,,39,26,64,25,53,13,8,,136,241,3,23,12,1,11,82,,Gold Coast 
27,Powell  Wil,18,275,115,90,365,20.28,,3,,42,105,39,13,52,20,21,,83,215,8,,40,5,3,79.7,,Gold Coast 
2,Atkins  Rory,17,241,87,104,345,20.29,3,3,,19,83,44,16,31,8,9,,60,225,,2,16,18,8,71.2,3-Jan,Gold Coast 
3,Flanders  Sam,14,179,75,160,339,24.21,5,3,,35,17,52,48,30,11,4,1,122,212,2,5,10,1,8,71.9,0/2,Gold Coast 
11,Miller  Touk,13,191,50,133,324,24.92,4,1,,68,31,57,66,54,12,16,3,126,197,1,5,11,1,8,82,,Gold Coast 
8,Fiorini  Brayden,17,204,69,98,302,17.76,4,8,,44,34,52,34,47,11,10,2,90,211,,3,23,,6,71.7,2-Jan,Gold Coast 
13,Lukosius  Jack,22,256,140,41,297,13.5,39,22,,24,18,97,2,57,15,17,8,110,178,22,36,54,2,15,83.6,,Gold Coast 
10,Ballard  Charlie,23,230,142,63,293,12.74,1,,,29,66,18,2,60,14,20,,120,164,44,1,142,1,1,95.7,,Gold Coast 
