Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
14,Hibberd  Michael,12,83,36,50,133,11.08,,,,11,41,6,1,18,9,7,,57,76,5,,53,,1,78.6,2-Feb,Melbourne 
20,Tomlinson  Adam,9,91,39,30,121,13.44,,1,,15,39,8,1,20,8,8,,38,72,3,,47,,,93,0/2,Melbourne 
4,Harmes  James,9,50,13,61,111,12.33,1,5,,31,2,21,16,25,5,10,,47,72,,2,7,2,1,52.7,3/0,Melbourne 
18,Melksham  Jake,13,84,50,19,103,7.92,20,11,,20,1,30,,37,7,8,2,39,63,11,26,12,,5,69.7,4-Jan,Melbourne 
29,Smith  Joel,14,59,37,28,87,6.21,11,4,1,32,5,9,2,16,5,8,,43,48,10,14,46,1,2,65.7,4/0,Melbourne 
25,McDonald  Tom,8,43,24,29,72,9,9,4,10,15,1,11,4,11,4,5,,35,41,7,9,14,,4,74,,Melbourne 
50,Brown  Ben,7,44,26,22,66,9.43,11,4,7,6,2,7,,7,6,2,1,29,36,2,10,14,,5,74.4,0/2,Melbourne 
40,Woewodin  Taj,4,18,8,19,37,9.25,2,1,,7,2,8,3,6,3,2,,14,23,1,1,,,2,66.3,,Melbourne 
16,Laurie  Bailey,5,14,3,22,36,7.2,,1,,6,,6,5,7,1,1,,17,17,,,2,,3,39.4,3-Jan,Melbourne 
42,Turner  Daniel,2,17,7,3,20,10,,,,6,5,,,7,1,3,,5,13,2,,6,,,81,0/1,Melbourne 
19,Schache  Josh,3,7,5,3,10,3.33,1,1,1,2,,3,2,5,1,3,,4,6,1,1,1,,1,31,1/0,Melbourne 
3,Sheezel  Harry,23,357,125,265,622,27.04,3,6,,67,120,67,39,79,10,13,3,157,408,3,4,31,5,11,85,,North Melbourne
8,Scott  Bailey,23,330,120,179,509,22.13,5,5,,60,85,81,35,72,7,7,4,115,378,1,4,23,18,11,85.4,,North Melbourne
7,Ziebell  Jack,22,389,149,99,488,22.18,1,3,,41,132,25,6,63,23,12,2,107,279,12,3,63,1,1,73.9,4/0,North Melbourne
9,Davies-Uniacke  Luke,14,175,52,208,383,27.36,8,6,,63,28,69,94,47,18,19,13,185,213,1,1,9,7,12,81.2,,North Melbourne
11,McDonald  Luke,22,249,119,134,383,17.41,1,,,80,97,32,12,55,16,20,,102,265,8,,77,1,2,86.5,1-Jan,North Melbourne
12,Simpkin  Jy,18,194,48,178,372,20.67,9,4,,71,12,69,76,68,18,26,,158,224,1,5,31,9,5,77.6,0/2,North Melbourne
29,Phillips  Will,16,113,28,188,301,18.81,3,2,,66,17,44,63,39,13,9,1,133,176,2,3,11,3,9,70.3,1-Jan,North Melbourne
13,Tucker  Darcy,18,165,76,128,293,16.28,6,2,,28,37,46,20,45,10,14,,82,218,4,5,15,10,7,73.1,1-Jan,North Melbourne
4,Corr  Aidan,19,206,93,81,287,15.11,1,,,23,89,8,4,38,12,17,,65,182,10,,120,8,,87.1,1/0,North Melbourne
14,Shiels  Liam,16,139,66,144,283,17.69,3,3,,88,21,50,41,47,12,17,,103,180,5,3,20,,4,74.6,1-Jan,North Melbourne
22,Goldstein  Todd,20,99,45,161,260,13,4,2,584,38,23,35,73,56,34,28,,173,97,18,3,70,,9,79.3,0/1,North Melbourne
44,Zurhaar  Cameron,16,159,39,99,258,16.13,20,19,,36,9,75,33,57,20,21,2,114,146,9,9,16,6,15,82.6,,North Melbourne
26,Thomas  Tarryn,12,125,31,110,235,19.58,11,4,,57,17,50,51,34,11,15,5,111,121,2,9,20,6,9,82.8,,North Melbourne
23,McKay  Ben,19,146,113,86,232,12.21,,,,22,37,7,3,36,11,16,,89,143,29,,92,3,,95,,North Melbourne
24,Powell  Tom,14,94,39,136,230,16.43,7,4,,27,10,41,27,43,2,8,,65,167,,3,10,12,5,76.8,1/0,North Melbourne
2,Stephenson  Jaidyn,21,146,75,80,226,10.76,26,10,1,41,9,47,9,40,7,12,,69,160,5,18,13,11,9,78.7,,North Melbourne
5,Taylor  Curtis,16,148,76,73,221,13.81,9,7,,30,15,35,10,37,12,10,,59,168,6,13,15,2,4,82.5,0/1,North Melbourne
20,Larkey  Nick,23,152,97,64,216,9.39,71,24,3,17,1,25,2,39,29,15,7,96,124,26,64,48,4,7,96.3,,North Melbourne
18,Greenwood  Hugh,14,66,29,135,201,14.36,3,4,14,69,3,16,45,37,8,15,,134,72,10,3,23,,4,65.2,3-Jan,North Melbourne
25,Curtis  Paul,21,124,54,75,199,9.48,17,14,,49,5,42,9,53,7,27,,100,103,13,15,23,1,19,73.4,1-Jan,North Melbourne
40,Ford  Eddie,14,92,66,103,195,13.93,12,4,,20,8,26,6,25,7,12,,70,126,9,13,17,1,6,78.4,,North Melbourne
19,Logue  Griffin,15,105,76,82,187,12.47,1,1,22,15,42,7,1,27,6,8,,71,117,15,2,79,7,,88.2,0/1,North Melbourne
10,Cunnington  Ben,9,62,20,116,178,19.78,3,2,,23,6,21,48,30,7,10,,102,85,1,2,3,,4,66.2,0/2,North Melbourne
15,Howe  Daniel,11,107,40,53,160,14.55,2,1,,24,23,24,17,30,7,8,,45,117,2,2,23,4,1,68.5,4/0,North Melbourne
31,Goater  Josh,10,79,46,61,140,14,,1,,13,25,12,6,17,7,4,,34,107,,1,18,7,3,75.2,0/1,North Melbourne
43,Hall  Aaron,6,103,35,37,140,23.33,,,,18,21,21,4,14,2,3,,27,98,1,,6,,1,82.5,,North Melbourne
27,Bergman  Miller,12,86,42,51,137,11.42,,,,13,22,13,4,17,7,2,,33,107,1,,20,1,4,71.4,1-Jan,North Melbourne
6,Wardlaw  George,8,58,18,59,117,14.63,1,1,,46,9,10,33,26,13,10,2,59,67,1,3,7,,2,59.5,0/1,North Melbourne
28,Turner  Kayne,12,60,36,55,115,9.58,2,2,,37,3,18,6,12,4,2,,45,69,2,3,18,1,6,75.6,,North Melbourne
38,Xerri  Tristan,9,30,9,73,103,11.44,3,,229,26,6,10,26,24,13,11,,73,30,2,2,30,,1,70.1,0/1,North Melbourne
21,Coleman-Jones  Callum,9,41,27,41,82,9.11,4,3,64,23,3,11,12,30,5,7,,43,42,11,8,15,,4,75,,North Melbourne
30,Comben  Charlie,7,28,17,27,55,7.86,4,8,21,21,1,2,4,22,7,15,,31,28,4,9,16,1,3,73,0/1,North Melbourne
35,Lazzaro  Charlie,6,15,6,38,53,8.83,,,,18,1,7,6,6,1,4,,22,32,,,1,,3,50.5,2/0,North Melbourne
39,Perez  Flynn,5,32,17,21,53,10.6,1,,,9,10,6,,14,2,2,,10,40,,,11,,,74.2,,North Melbourne
17,Young  Lachie,4,26,16,26,52,13,,1,,12,9,7,,12,2,2,,17,34,2,,18,,,83.3,,North Melbourne
34,Archer  Jackson,5,24,12,18,42,8.4,,,,8,8,1,1,12,6,6,,12,32,1,,7,,,66.2,0/1,North Melbourne
36,Spicer  Phoenix,6,18,6,21,39,6.5,1,2,,23,1,5,2,7,4,1,,17,23,,,7,3,1,59.3,1-Feb,North Melbourne
41,Drury  Blake,4,14,5,15,29,7.25,,2,,5,1,2,1,6,2,2,,9,19,,1,1,,1,59.3,1-Jan,North Melbourne
37,Harvey  Cooper,3,17,11,11,28,9.33,1,,,6,,4,,7,1,1,,11,15,7,1,3,,1,76.7,,North Melbourne
1,Mahony  Jack,2,12,8,13,25,12.5,,,,3,4,4,1,3,,1,,4,20,,1,3,,,64.5,,North Melbourne
16,Bonar  Aiden,2,7,7,17,24,12,,,,4,,,,3,,2,,10,14,1,,7,1,,86.5,,North Melbourne
42,Dawson  Kallan,1,6,3,3,9,9,,,,1,2,1,,1,,1,,2,6,1,,2,,,83,,North Melbourne
46,Hansen  Robert,2,4,1,4,8,4,,2,,4,,1,1,1,,1,,2,6,,,1,,,48,0/1,North Melbourne
9,Butters  Zak,25,361,126,326,687,27.48,13,8,,86,39,131,110,82,35,26,27,258,427,6,6,26,40,15,78.5,,Port Adelaide
20,Rozee  Connor,25,390,117,254,644,25.76,21,18,,117,33,147,94,94,33,29,21,212,430,7,12,30,4,16,84.1,,Port Adelaide
5,Houston  Dan,25,389,143,195,584,23.36,9,5,,85,91,113,71,77,18,23,7,200,362,14,5,78,4,11,82.1,,Port Adelaide
16,Wines  Ollie,25,201,84,342,543,21.72,6,5,1,85,30,84,92,74,30,24,,227,304,2,6,29,,11,72.8,,Port Adelaide
28,Drew  Willem,25,203,62,231,434,17.36,5,9,1,166,25,87,109,62,20,22,,217,220,1,5,46,2,11,77.2,,Port Adelaide
18,Horne-Francis  Jason,24,268,78,154,422,17.58,16,12,,69,29,90,115,99,34,46,16,215,216,9,13,16,13,14,76.4,,Port Adelaide
6,Farrell  Kane,22,281,82,79,360,16.36,2,3,,42,90,58,14,39,9,14,,86,223,3,3,43,28,4,82.3,,Port Adelaide
2,Powell-Pepper  Sam,25,202,64,141,343,13.72,31,31,,78,10,59,38,87,21,39,2,160,176,7,23,29,1,14,85.9,,Port Adelaide
3,Burton  Ryan,22,278,80,58,336,15.27,8,6,,46,100,47,9,48,19,17,,86,179,5,5,60,1,4,79,1-Jan,Port Adelaide
10,Boak  Travis,21,173,60,162,335,15.95,7,6,,58,28,52,40,46,13,9,,128,200,3,6,13,2,6,70.1,4-Jan,Port Adelaide
14,Bergman  Miles,24,225,115,106,331,13.79,3,8,,57,79,50,29,66,19,18,,140,201,15,3,66,4,6,81.8,,Port Adelaide
23,Williams  Dylan,21,247,101,65,312,14.86,,1,,16,100,44,9,41,8,8,,84,183,15,1,38,5,2,69.8,3/0,Port Adelaide
33,Byrne-Jones  Darcy,23,192,68,100,292,12.7,18,17,,66,9,53,10,46,13,10,,113,181,2,18,47,4,21,75.1,1-Feb,Port Adelaide
21,Aliir  Aliir,24,202,121,81,283,11.79,,,,37,80,18,2,69,20,30,3,141,145,35,1,171,2,1,98,,Port Adelaide
11,Finlayson  Jeremy,22,207,102,72,279,12.68,38,38,60,40,12,47,34,54,13,21,6,131,154,25,51,53,4,15,83.4,1/0,Port Adelaide
7,Duursma  Xavier,16,146,67,99,245,15.31,6,1,,44,23,29,25,48,16,8,,99,146,5,3,15,7,5,75.6,0/2,Port Adelaide
41,McEntee  Jed,22,99,48,108,207,9.41,14,3,,64,4,44,7,44,10,21,,87,123,2,13,21,,11,76,,Port Adelaide
15,Rioli  Willie,19,136,52,69,205,10.79,31,17,,47,4,39,12,36,15,17,,91,115,6,18,24,1,17,81.3,0/1,Port Adelaide
4,Marshall  Todd,21,155,103,41,196,9.33,36,16,,48,3,29,1,49,16,12,1,78,120,22,61,35,1,15,78,0/2,Port Adelaide
12,McKenzie  Trent,19,147,74,28,175,9.21,,,,21,52,18,2,27,5,13,,49,98,16,,80,1,1,82.1,0/2,Port Adelaide
22,Dixon  Charlie,14,105,67,67,172,12.29,23,12,104,30,4,30,19,45,10,20,3,118,64,36,31,33,,5,93.9,,Port Adelaide
34,Jones  Lachie,15,94,45,66,160,10.67,4,1,3,25,35,19,5,30,6,5,,75,89,10,2,64,1,3,79.9,0/1,Port Adelaide
29,Lycett  Scott,14,49,14,100,149,10.64,,1,346,52,7,22,56,45,26,26,,98,56,1,2,33,,5,69.1,0/4,Port Adelaide
26,Bonner  Riley,11,100,37,42,142,12.91,2,7,,16,19,22,11,13,1,5,,36,105,,5,5,2,2,65.2,3/0,Port Adelaide
1,Jonas  Tom,13,63,44,36,99,7.62,1,,,19,25,6,2,25,9,8,,34,69,2,,84,,,89,0/1,Port Adelaide
30,Lord  Ollie,13,47,31,48,95,7.31,15,10,17,20,,10,2,30,10,18,,57,42,13,18,46,,4,82.6,,Port Adelaide
31,Evans  Francis,10,51,20,24,75,7.5,10,4,,16,,14,5,12,4,1,,36,41,2,4,6,1,6,50,4/0,Port Adelaide
44,Mead  Jackson,7,32,12,20,52,7.43,2,1,,18,1,16,6,11,3,3,,20,33,2,2,10,,1,56.4,4-Jan,Port Adelaide
36,Burgoyne  Jase,5,27,13,17,44,8.8,,,,6,4,8,1,3,1,,,13,32,,,8,,1,64,1-Jan,Port Adelaide
27,Teakle  Brynn,4,16,5,25,41,10.25,1,2,83,14,5,6,7,18,5,10,,23,17,1,,7,,1,82,,Port Adelaide
25,Hayes  Sam,4,13,6,22,35,8.75,,,74,9,2,5,7,8,3,4,,21,15,1,,10,,1,64.8,0/2,Port Adelaide
47,Narkle  Quinton,3,18,7,14,32,10.67,4,1,,4,2,6,,8,1,3,,8,25,,3,4,2,,66,1/0,Port Adelaide
19,Georgiades  Mitch,2,18,12,9,27,13.5,2,5,,2,,4,,7,2,4,,9,19,1,6,,,1,80.5,,Port Adelaide
13,Fantasia  Orazio,3,13,5,10,23,7.67,2,5,,5,,5,,3,2,,,5,17,,2,,,1,52,1-Jan,Port Adelaide
38,Visentini  Dante,3,10,2,12,22,7.33,,,51,7,,2,12,12,4,8,,15,5,,,8,,,68.7,0/1,Port Adelaide
8,Sinn  Josh,3,10,5,6,16,5.33,,1,,1,2,2,1,6,,1,,8,9,1,,2,,1,43.7,1-Feb,Port Adelaide
17,Clurey  Tom,1,2,1,1,3,3,,,,2,4,,1,1,,1,,2,,1,,7,,,93,,Port Adelaide
14,Taranto  Tim,23,337,79,325,662,28.78,19,14,,154,52,80,142,121,13,23,19,285,360,2,18,19,2,8,84.3,,Richmond 
29,Bolton  Shai,23,315,79,185,500,21.74,31,29,,70,19,125,93,87,19,23,14,223,283,12,25,39,29,19,86.5,,Richmond 
17,Rioli  Daniel,23,272,97,204,476,20.7,4,4,,79,73,46,18,55,18,10,5,130,295,7,3,27,50,10,83.3,,Richmond 
4,Martin  Dustin,20,280,94,192,472,23.6,25,22,,38,7,100,56,70,11,14,8,195,268,22,30,27,9,15,84.8,0/1,Richmond 
3,Prestia  Dion,20,211,63,228,439,21.95,8,3,,56,35,60,77,68,9,15,6,168,280,,11,25,1,13,79.4,,Richmond 
7,Baker  Liam,23,258,85,180,438,19.04,12,14,,51,57,57,19,88,14,29,3,159,268,2,16,46,10,13,83.1,,Richmond 
1,Vlastuin  Nick,21,283,144,111,394,18.76,2,1,,53,116,20,9,50,19,14,,116,225,17,2,84,1,1,89.8,,Richmond 
15,Short  Jayden,16,279,100,77,356,22.25,7,4,,40,73,55,24,39,10,9,,83,256,4,1,12,15,6,76,0/1,Richmond 
5,Ross  Jack,19,185,100,161,346,18.21,8,4,,35,45,53,32,40,9,6,,108,240,4,13,25,7,9,78.2,2/0,Richmond 
22,Hopper  Jacob,16,162,55,180,342,21.38,7,4,,64,24,67,68,58,18,13,1,133,210,1,5,9,1,12,70.1,0/2,Richmond 
21,Balta  Noah,23,271,147,68,339,14.74,3,3,8,28,121,36,1,74,16,20,6,131,192,47,8,103,19,1,90.7,,Richmond 
33,McIntosh  Kamdyn,22,223,93,94,317,14.41,6,6,,45,44,52,14,77,7,17,,83,222,9,7,47,1,5,83.5,,Richmond 
9,Cotchin  Trent,19,161,53,150,311,16.37,7,8,,45,16,50,50,52,10,13,2,139,168,4,8,16,,7,68.5,1-Jan,Richmond 
35,Broad  Nathan,19,192,101,113,305,16.05,2,,,45,67,20,3,41,13,13,1,83,211,14,,105,9,3,90.4,,Richmond 
34,Graham  Jack,20,147,45,156,303,15.15,9,7,,77,18,54,27,47,10,16,,104,205,,8,14,5,12,79.2,0/1,Richmond 
50,Pickett  Marlion,21,130,54,142,272,12.95,8,4,3,55,13,58,17,67,15,24,,128,163,5,9,39,3,10,77.9,0/2,Richmond 
25,Nankervis  Toby,15,130,37,121,251,16.73,3,4,487,82,23,24,65,63,23,23,,135,95,4,2,65,,2,80.3,,Richmond 
2,Grimes  Dylan,22,121,52,77,198,9,,,,48,42,10,4,50,24,24,,92,91,6,,113,1,1,79.3,,Richmond 
8,Riewoldt  Jack,21,139,94,49,188,8.95,32,28,2,43,1,30,5,51,11,16,,96,91,33,58,43,,6,87,,Richmond 
45,Young  Tylar,19,129,55,48,177,9.32,,,,23,69,16,3,47,9,16,,76,90,13,,148,,,88.5,0/2,Richmond 
13,Ralphsmith  Hugo,13,77,43,66,143,11,1,2,,6,16,25,5,30,,6,,43,91,3,1,15,3,4,56.8,5/0,Richmond 
31,Mansell  Rhyan,17,94,40,38,132,7.76,10,5,,43,6,30,4,25,13,9,,48,85,1,8,22,,2,60,5-Jan,Richmond 
42,Clarke  Judson,13,68,26,47,115,8.85,11,3,,18,5,29,8,19,5,2,,47,74,2,5,7,5,1,58,4/0,Richmond 
32,Ryan  Samson,14,66,40,33,99,7.07,12,5,171,11,10,20,16,26,7,10,,50,49,11,15,23,,2,69.5,0/3,Richmond 
46,Miller  Ben,13,49,31,46,95,7.31,6,3,115,28,6,15,10,22,7,5,,51,52,6,10,53,1,6,73.6,0/2,Richmond 
41,Banks  Sam,6,55,17,27,82,13.67,1,2,,8,20,9,3,13,3,1,,19,56,1,1,11,,1,76.7,,Richmond 
20,Soldo  Ivan,8,47,31,31,78,9.75,7,5,182,30,9,13,21,20,14,10,,46,34,7,11,14,,3,69.3,0/1,Richmond 
38,Cumberland  Noah,9,49,23,23,72,8,8,8,,23,,17,2,38,12,11,,35,37,5,10,5,1,3,62.1,2-Jan,Richmond 
27,Dow  Thomson,4,27,10,43,70,17.5,,2,,8,3,11,15,14,4,5,,30,39,1,2,2,,1,69.3,0/1,Richmond 
10,Rioli  Maurice,10,40,14,22,62,6.2,2,5,,21,2,8,3,14,5,5,,24,44,,3,8,4,5,60,2-Feb,Richmond 
19,Lynch  Tom,4,26,18,8,34,8.5,9,6,1,5,,4,3,14,2,8,,24,13,10,11,12,,1,88.3,,Richmond 
40,Sonsie  Tyler,3,16,4,18,34,11.33,,,,4,2,4,1,9,1,2,,12,23,,,3,,,65.3,0/1,Richmond 
26,Coulthard  Matthew,4,18,7,11,29,7.25,1,2,,6,1,7,4,3,4,,,13,18,,1,2,2,1,49.5,2/0,Richmond 
43,Bauer  Jacob,4,14,8,4,18,4.5,4,,,2,,3,,8,1,4,,4,15,2,3,3,,,60,0/1,Richmond 
36,Trezise  James,1,13,3,4,17,17,,,,5,5,3,,1,1,,,4,9,,,9,1,,82,,Richmond 
30,Brown  Tom,1,12,6,4,16,16,,,,,4,2,,2,,,,6,10,,,1,,,81,,Richmond 
35,Sinclair  Jack,24,470,119,223,693,28.88,6,3,,49,112,78,68,76,15,4,21,194,403,2,3,35,16,9,83.6,,St Kilda
5,Crouch  Brad,24,292,90,359,651,27.13,8,6,,142,33,79,131,106,25,22,18,283,362,1,6,24,3,10,78.5,,St Kilda
7,Wanganeen-Milera  Nasiah,24,419,150,144,563,23.46,4,2,,49,103,51,7,69,11,11,4,112,362,6,2,37,24,4,82.1,,St Kilda
32,Wood  Mason,24,332,161,180,512,21.33,15,11,,64,40,75,35,78,26,18,1,173,347,21,17,66,4,17,86.9,,St Kilda
9,Steele  Jack,21,227,86,272,499,23.76,4,3,,150,27,89,97,79,27,22,15,226,282,4,7,36,1,8,79.5,,St Kilda
19,Marshall  Rowan,24,314,126,179,493,20.54,8,8,639,115,41,80,121,83,44,25,3,275,218,35,14,63,,4,84.5,0/1,St Kilda
44,Wilkie  Callum,24,329,207,145,474,19.75,,1,,50,117,15,1,65,18,23,2,133,330,28,1,143,9,2,99.4,,St Kilda
8,Hill  Bradley,22,271,103,184,455,20.68,6,5,,43,45,68,17,64,13,14,,89,368,,6,24,21,12,83.3,0/1,St Kilda
4,Gresham  Jade,23,229,87,175,404,17.57,21,16,,74,11,79,35,87,17,18,,149,241,5,24,16,7,12,81.2,1-Jan,St Kilda
14,Stocker  Liam,23,239,145,153,392,17.04,,2,,39,83,26,7,48,14,13,,100,271,9,,47,1,,72.3,2/0,St Kilda
11,Clark  Hunter,19,185,54,161,346,18.21,4,2,,68,16,50,52,64,16,22,,143,202,3,1,17,,5,58.1,3-Jan,St Kilda
10,Owens  Mitch,23,187,83,159,346,15.04,26,16,49,87,12,66,37,55,39,14,,194,166,23,15,45,9,10,82.6,0/1,St Kilda
13,Byrnes  Ryan,20,184,68,151,335,16.75,5,4,,42,37,46,22,49,10,10,,105,238,1,5,20,10,9,77.8,2-Feb,St Kilda
26,Battle  Josh,23,216,146,112,328,14.26,1,,,39,74,21,4,59,14,18,,101,217,23,,81,2,2,86.1,0/2,St Kilda
6,Ross  Sebastian,17,190,42,137,327,19.24,1,1,,61,23,68,63,47,13,11,,137,195,2,1,32,10,8,66.5,0/1,St Kilda
25,Phillipou  Mattaes,24,124,69,180,304,12.67,13,8,,54,6,56,26,57,16,11,1,133,175,9,11,16,2,9,75,0/2,St Kilda
17,Windhager  Marcus,19,156,74,148,304,16,2,5,,48,25,34,18,33,11,7,,83,225,1,4,12,3,2,69.1,3/0,St Kilda
22,Higgins  Jack,22,163,82,130,293,13.32,36,25,,43,6,32,7,45,25,14,3,115,182,5,40,18,2,12,79.1,,St Kilda
16,Butler  Dan,24,176,49,83,259,10.79,33,13,,101,12,56,10,71,24,24,,94,165,4,16,21,7,11,77.2,0/1,St Kilda
29,Webster  Jimmy,17,159,94,99,258,15.18,,,,31,43,18,5,27,8,11,,70,181,4,,48,3,1,75.8,,St Kilda
20,Howard  Dougal,18,150,99,81,231,12.83,,1,,15,36,7,2,32,8,9,,73,152,10,,147,,,94.1,0/1,St Kilda
33,Paton  Ben,12,92,53,70,162,13.5,,,,18,21,14,4,18,9,1,,44,117,3,,17,2,1,66.1,3/0,St Kilda
47,Caminiti  Anthony,18,78,60,74,152,8.44,19,9,26,50,1,32,4,42,14,19,,76,76,15,22,15,1,9,77.9,0/2,St Kilda
43,Sharman  Cooper,16,97,57,49,146,9.13,15,5,3,23,11,34,8,26,9,5,,67,79,14,17,40,,6,67,5-Jan,St Kilda
12,King  Max,11,73,48,30,103,9.36,28,12,3,10,,19,3,22,11,11,5,55,47,19,27,4,,6,76.8,0/1,St Kilda
21,Cordy  Zaine,14,59,43,43,102,7.29,7,,34,18,13,11,2,18,5,7,,41,68,4,8,46,,5,69.2,0/4,St Kilda
28,Membrey  Tim,7,53,36,24,77,11,6,8,2,6,1,16,,8,2,2,,28,51,3,13,10,,3,80.7,0/1,St Kilda
3,Jones  Zak,4,26,9,34,60,15,,2,,11,1,12,13,5,2,1,,20,40,,,4,,1,54.3,0/1,St Kilda
23,Bytel  Jack,6,25,15,23,48,8,1,1,,11,4,4,7,11,2,4,,19,30,,2,2,1,,35.8,4/0,St Kilda
15,Billings  Jack,3,22,13,23,45,15,1,3,,6,2,8,2,5,1,1,,13,32,,2,3,,2,77.7,1/0,St Kilda
45,Peris  Jack,1,5,3,8,13,13,,,,4,,3,,,1,,,6,9,,,1,,,61,,St Kilda
18,Hayes  Jack,1,2,4,6,8,8,1,,3,2,,3,2,3,2,2,,6,5,1,1,2,,1,80,,St Kilda
21,Gulden  Errol,24,464,126,179,643,26.79,22,20,,119,72,147,93,109,40,34,27,236,404,3,10,25,9,15,88.2,,Sydney 
26,Parker  Luke,23,269,86,274,543,23.61,9,5,,114,26,73,128,79,29,26,10,255,286,7,8,31,2,16,84.3,,Sydney 
44,Lloyd  Jake,23,372,138,163,535,23.26,3,1,,54,125,63,19,40,13,9,,107,344,3,,46,9,7,82.1,0/1,Sydney 
1,Warner  Chad,21,309,65,209,518,24.67,15,15,,90,39,121,94,90,22,28,16,221,309,2,2,22,17,11,81.9,,Sydney 
22,Blakey  Nick,24,318,98,175,493,20.54,2,1,,32,127,50,2,64,21,14,5,113,289,12,1,145,56,4,78.3,0/1,Sydney 
13,Florent  Oliver,24,272,95,205,477,19.88,5,1,,45,92,56,27,68,11,19,,135,302,2,4,23,16,7,86.3,,Sydney 
8,Rowbottom  James,24,238,27,192,430,17.92,6,6,,176,40,76,112,89,32,28,,245,191,,,25,,10,75.7,,Sydney 
14,Mills  Callum,20,207,95,196,403,20.15,7,5,,88,35,55,40,53,13,8,3,141,261,7,6,30,1,8,79.2,0/2,Sydney 
16,Campbell  Braeden,23,238,99,123,361,15.7,8,9,,63,49,58,26,61,13,19,,121,245,6,7,34,3,6,79.5,,Sydney 
5,Heeney  Isaac,23,214,110,143,357,15.52,30,19,,99,14,55,41,70,19,15,2,194,165,24,31,28,5,14,84.6,,Sydney 
11,Papley  Tom,23,254,74,90,344,14.96,37,24,,42,5,91,68,86,23,23,4,159,193,8,33,27,7,21,83.7,0/1,Sydney 
27,McInerney  Justin,19,183,87,142,325,17.11,13,5,,42,25,45,20,39,16,12,,88,234,3,15,32,3,5,78.9,,Sydney 
7,Cunningham  Harry,24,171,85,148,319,13.29,3,2,,68,61,22,16,33,10,15,,91,232,3,3,45,6,5,86.3,,Sydney 
42,Fox  Robbie,20,152,61,151,303,15.15,2,3,2,39,56,18,8,52,11,19,,114,189,9,3,67,4,2,80.8,3/0,Sydney 
2,McLean  Hayden,22,150,97,121,271,12.32,21,14,213,55,14,42,28,58,15,28,1,135,137,33,25,76,,12,79.5,,Sydney 
9,Hayward  Will,23,177,99,92,269,11.7,25,19,,72,11,43,6,44,20,11,1,115,154,19,23,27,,13,83.2,,Sydney 
24,Rampe  Dane,15,140,62,93,233,15.53,,,,33,50,17,2,28,7,12,1,67,157,2,,85,1,,88.9,,Sydney 
6,McDonald  Logan,20,131,84,63,194,9.7,32,15,5,31,,36,3,27,13,7,1,81,109,15,31,25,,9,77.3,0/1,Sydney 
30,McCartin  Tom,15,89,60,100,189,12.6,,,,21,37,7,2,24,12,10,,90,99,17,,136,3,,87,0/1,Sydney 
3,Stephens  Dylan,13,113,37,63,176,13.54,3,3,,32,20,26,12,33,13,8,,70,114,1,3,16,1,4,68.8,2-Jan,Sydney 
31,Hickey  Tom,12,62,26,84,146,12.17,,3,284,29,8,27,39,36,15,22,,95,57,7,2,34,,4,73.7,,Sydney 
10,Francis  Aaron,15,88,61,53,141,9.4,1,4,,19,32,7,,35,14,10,,57,84,14,6,79,,2,73.1,2/0,Sydney 
19,Ladhams  Peter,9,75,29,62,137,15.22,4,1,182,18,8,29,37,42,13,14,,68,68,3,4,24,,3,71.2,0/2,Sydney 
4,Clarke  Ryan,16,51,24,72,123,7.69,5,3,,32,2,10,4,27,5,10,,45,81,,4,6,,4,55,5/0,Sydney 
23,Franklin  Lance,13,84,53,38,122,9.38,19,13,,29,,21,2,49,18,27,,60,69,22,27,25,1,8,84.6,0/1,Sydney 
36,Amartey  Joel,15,78,58,39,117,7.8,20,15,46,25,2,26,7,18,12,6,4,61,62,18,28,18,,7,60.5,1-May,Sydney 
15,Wicks  Sam,11,65,19,52,117,10.64,10,9,,59,2,21,8,20,4,10,,44,62,,5,9,,11,81.4,,Sydney 
29,Sheldrick  Angus,7,49,19,58,107,15.29,3,3,,24,7,20,19,15,6,2,,44,64,2,1,3,1,1,53,1-Jan,Sydney 
43,Melican  Lewis,8,47,19,33,80,10,,,,19,20,4,1,13,6,5,,36,45,2,,50,,,84.6,0/1,Sydney 
34,Roberts  Matt,6,28,12,13,41,6.83,1,1,,9,4,6,4,4,2,2,,18,24,,,3,,,36,3-Jan,Sydney 
39,McCartin  Paddy,4,30,15,9,39,9.75,,,,3,10,3,,5,1,2,,12,27,1,,17,,,59,,Sydney 
17,Gould  Will,4,17,9,9,26,6.5,,,,5,10,2,1,3,2,2,,7,17,,,18,,,59.8,2/0,Sydney 
46,McAndrew  Lachlan,2,4,2,8,12,6,,1,27,6,2,1,3,2,1,1,,8,2,1,,6,,,54,0/1,Sydney 
37,Warner  Corey,3,6,3,6,12,4,1,,,4,1,2,,1,1,,,2,10,,1,2,,1,44.7,1/0,Sydney 
33,Sheather  Marc,3,5,2,6,11,3.67,1,,,6,,2,,6,1,3,,7,4,2,,2,,,42.7,2-Jan,Sydney 
