Player Number,Player  ,Team Name,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,,,,,,,,,,,,,,,,,,,
14,Hibberd  Michael,Melbourne ,12,83,36,50,133,11.08,,,,,,,,,,,,,,,,,,,,
20,Tomlinson  Adam,Melbourne ,9,91,39,30,121,13.44,,,,,,,,,,,,,,,,,,,,
4,Harmes  James,Melbourne ,9,50,13,61,111,12.33,1,,,,,,,,,,,,,,,,,,,
18,Melksham  Jake,Melbourne ,13,84,50,19,103,7.92,20,,,,,,,,,,,,,,,,,,,
29,Smith  Joel,Melbourne ,14,59,37,28,87,6.21,11,,,,,,,,,,,,,,,,,,,
25,McDonald  Tom,Melbourne ,8,43,24,29,72,9,9,,,,,,,,,,,,,,,,,,,
50,Brown  Ben,Melbourne ,7,44,26,22,66,9.43,11,,,,,,,,,,,,,,,,,,,
40,Woewodin  Taj,Melbourne ,4,18,8,19,37,9.25,2,,,,,,,,,,,,,,,,,,,
16,Laurie  Bailey,Melbourne ,5,14,3,22,36,7.2,,,,,,,,,,,,,,,,,,,,
42,Turner  Daniel,Melbourne ,2,17,7,3,20,10,,,,,,,,,,,,,,,,,,,,
19,Schache  Josh,Melbourne ,3,7,5,3,10,3.33,1,,,,,,,,,,,,,,,,,,,
3,Sheezel  Harry,North Melbourne,23,357,125,265,622,27.04,3,,,,,,,,,,,,,,,,,,,
8,Scott  Bailey,North Melbourne,23,330,120,179,509,22.13,5,,,,,,,,,,,,,,,,,,,
7,Ziebell  Jack,North Melbourne,22,389,149,99,488,22.18,1,,,,,,,,,,,,,,,,,,,
9,Davies-Uniacke  Luke,North Melbourne,14,175,52,208,383,27.36,8,,,,,,,,,,,,,,,,,,,
11,McDonald  Luke,North Melbourne,22,249,119,134,383,17.41,1,,,,,,,,,,,,,,,,,,,
12,Simpkin  Jy,North Melbourne,18,194,48,178,372,20.67,9,,,,,,,,,,,,,,,,,,,
29,Phillips  Will,North Melbourne,16,113,28,188,301,18.81,3,,,,,,,,,,,,,,,,,,,
13,Tucker  Darcy,North Melbourne,18,165,76,128,293,16.28,6,,,,,,,,,,,,,,,,,,,
4,Corr  Aidan,North Melbourne,19,206,93,81,287,15.11,1,,,,,,,,,,,,,,,,,,,
14,Shiels  Liam,North Melbourne,16,139,66,144,283,17.69,3,,,,,,,,,,,,,,,,,,,
22,Goldstein  Todd,North Melbourne,20,99,45,161,260,13,4,,,,,,,,,,,,,,,,,,,
44,Zurhaar  Cameron,North Melbourne,16,159,39,99,258,16.13,20,,,,,,,,,,,,,,,,,,,
26,Thomas  Tarryn,North Melbourne,12,125,31,110,235,19.58,11,,,,,,,,,,,,,,,,,,,
23,McKay  Ben,North Melbourne,19,146,113,86,232,12.21,,,,,,,,,,,,,,,,,,,,
24,Powell  Tom,North Melbourne,14,94,39,136,230,16.43,7,,,,,,,,,,,,,,,,,,,
2,Stephenson  Jaidyn,North Melbourne,21,146,75,80,226,10.76,26,,,,,,,,,,,,,,,,,,,
5,Taylor  Curtis,North Melbourne,16,148,76,73,221,13.81,9,,,,,,,,,,,,,,,,,,,
20,Larkey  Nick,North Melbourne,23,152,97,64,216,9.39,71,,,,,,,,,,,,,,,,,,,
18,Greenwood  Hugh,North Melbourne,14,66,29,135,201,14.36,3,,,,,,,,,,,,,,,,,,,
25,Curtis  Paul,North Melbourne,21,124,54,75,199,9.48,17,,,,,,,,,,,,,,,,,,,
